Tree Pair,RF Distance,Max RF,Normalized RF,Common Leaves,Unique Partitions T1,Unique Partitions T2
ASTRAL-Pro3 vs IQ-Tree,34,176,0.19318181818181818,"{'Okarongae__MbambaBay__OR1A3', 'Okaromo__LakeNyamagoma__207', 'Oplacidus__NamiungoRiver__123B', 'Omalagarasi__Uvinza__130', 'Oleucostictus__Malimbe__V46', 'Oesculentus__Malimbe__MG340', 'Oniloticus__Malimbe__V79', 'Okorogwe__Nambawala__T3J6', 'Oplacidus__Nambuti__73D', 'Omtera__MteraDam__T9I4', 'Oshiranus__LakeKingiri__373', 'Oshiranus__LakeKingiri__97A', 'Oniloticus__LakeAlbert__U1A1', 'Orukwaensis__LakeRukwa__T10D02', 'Osquamipinnis__LakeIlamba__120B', 'Ourolepis__Kilombero__F4', 'Ohunteri__LakeChala__G1-K2G2', 'Oshiranus__Salima__411B', 'Goldenchambo__LakeIkapu__G7B1', 'Oaureus1', 'Ourolepis__ZanzibarSite4__Z1D7', 'Oesculentus__Malimbe__V71', 'Oplacidus__Mozambique__AC13-A128', 'Orukwaensis__LakeRukwa__24-2012', 'Osquamipinnis__LakeKingiri__94B', 'Ovariabilis__MakobeIsland__396', 'Oshiranuschilwae__MalawiBUaquarium__OR1A2', 'Omossambicus__SouthAfrica__RB09-059', 'Oplacidus__NamiungoRiver__122A', 'Ourolepis__Kilombero__F3', 'Oshiranus__LakeIlamba__152', 'Orovumae__LakeChidya__141A', 'Oniloticus__LakeAlbert__U3A3', 'Oesculentus__LakeRukwa__T10F04', 'Ogirigan__LakeJipe__P3C5', 'Agrahami__LakeMagadi__Ag2630', 'Oniloticus__Malimbe__V77', 'Otanganicae__Katanga__42', 'Omacrochir__Angola__RB12-A050', 'Oplacidus__Mozambique__AC13-A158', 'Ourolepis__Ifakara__T9J7', 'Osquamipinnis__LakeMalawi__D14-J06', 'Osquamipinnis__LakeKingiri__94A', 'Oshiranus__Lituhu__T8H7', 'Omtera__MteraReservoir__14_1G1', 'Agrahami__LakeMagadi__Ag2638', 'Sgalilaeus__LakeAlbert__U1B1', 'Osquamipinnis__LakeMassoko__221A', 'Ourolepis__LakeLugongwe__T3D1', 'Ourolepis__WamiRiver__14_1E1', 'Ogirigan__LakeKumba__P1E1', 'Oamphimelas__LakeSulungali__T9F4', 'Ojipe__NyumbayaMunga__P2G3', 'Oshiranus__Salima__409A', 'Mzebra2', 'Ochungruruensis__LakeKiungululu__300', 'Ourolepis__ZanzibarSite3__Z1B9', 'Ourolepis__Mbuyunipool__T6A8', 'Sgalilaeus__LakeAlbert__U2B2', 'Ochungruruensis__LakeKiungululu__3D9', 'Ourolepis__Ifakara__T9J4', 'Oleucostictus__LakeAlbert__U3L3', 'Oshiranus__Metangula__RB10-A251', 'Oamphimelas__LakeSulungali__T9F2', 'Oamphimelas__LakeManyara__P3H2', 'Omacrochir__Zambia__CFH11-078', 'Ojipe__NyumbayaMunga__P2G6', 'Okorogwe__MlinganoDam__P4B1', 'Osquamipinnis__LakeMalawi__D14-J04', 'Okorogwe__MlinganoDam__P4B2', 'Oesculentus__LakeRukwa__T10E03', 'Oleucostictus__Malimbe__V56', 'Ohunteri__LakeChala__G2-K2G3', 'Okorogwe__Nambawala__T3J4', 'Orovumae__LakeChidya__141D', 'Orovumae__Rovuma__83-2013', 'Ospilurus1', 'Oshiranus__Lituhu__T8H6', 'Omalagarasi__Uvinza__131', 'Ovariabilis__MakobeIsland__395', 'Goldenchambo__LakeIkapu__G7B3', 'Okaromo__LakeNyamagoma__206', 'Omossambicus__Mozambique__C13', 'Mzebra1', 'Ourolepis__LakeLugongwe__T2J5', 'Oplacidus__Nambuti__73C', 'Oamphimelas__LakeManyara__P3H1', 'Otanganicae__Katanga__41', 'Oshiranus__LakeIlamba__142A', 'Oleucostictus__LakeAlbert__U7L7', 'Oaureus2'}",180,180
ASTRAL-Pro3 vs TreeQMC,6,176,0.03409090909090909,"{'Okarongae__MbambaBay__OR1A3', 'Okaromo__LakeNyamagoma__207', 'Oplacidus__NamiungoRiver__123B', 'Omalagarasi__Uvinza__130', 'Oleucostictus__Malimbe__V46', 'Oesculentus__Malimbe__MG340', 'Oniloticus__Malimbe__V79', 'Omtera__MteraDam__T9I4', 'Oplacidus__Nambuti__73D', 'Okorogwe__Nambawala__T3J6', 'Oshiranus__LakeKingiri__373', 'Oshiranus__LakeKingiri__97A', 'Oniloticus__LakeAlbert__U1A1', 'Orukwaensis__LakeRukwa__T10D02', 'Osquamipinnis__LakeIlamba__120B', 'Ourolepis__Kilombero__F4', 'Ohunteri__LakeChala__G1-K2G2', 'Oshiranus__Salima__411B', 'Goldenchambo__LakeIkapu__G7B1', 'Oaureus1', 'Ourolepis__ZanzibarSite4__Z1D7', 'Oesculentus__Malimbe__V71', 'Orukwaensis__LakeRukwa__24-2012', 'Oplacidus__Mozambique__AC13-A128', 'Osquamipinnis__LakeKingiri__94B', 'Ovariabilis__MakobeIsland__396', 'Oshiranuschilwae__MalawiBUaquarium__OR1A2', 'Omossambicus__SouthAfrica__RB09-059', 'Oplacidus__NamiungoRiver__122A', 'Ourolepis__Kilombero__F3', 'Oshiranus__LakeIlamba__152', 'Orovumae__LakeChidya__141A', 'Oniloticus__LakeAlbert__U3A3', 'Oesculentus__LakeRukwa__T10F04', 'Ogirigan__LakeJipe__P3C5', 'Agrahami__LakeMagadi__Ag2630', 'Oniloticus__Malimbe__V77', 'Otanganicae__Katanga__42', 'Omacrochir__Angola__RB12-A050', 'Oplacidus__Mozambique__AC13-A158', 'Ourolepis__Ifakara__T9J7', 'Osquamipinnis__LakeMalawi__D14-J06', 'Omtera__MteraReservoir__14_1G1', 'Osquamipinnis__LakeKingiri__94A', 'Oshiranus__Lituhu__T8H7', 'Agrahami__LakeMagadi__Ag2638', 'Sgalilaeus__LakeAlbert__U1B1', 'Osquamipinnis__LakeMassoko__221A', 'Ourolepis__LakeLugongwe__T3D1', 'Ourolepis__WamiRiver__14_1E1', 'Ogirigan__LakeKumba__P1E1', 'Oamphimelas__LakeSulungali__T9F4', 'Ojipe__NyumbayaMunga__P2G3', 'Oshiranus__Salima__409A', 'Mzebra2', 'Ochungruruensis__LakeKiungululu__300', 'Ourolepis__ZanzibarSite3__Z1B9', 'Ourolepis__Mbuyunipool__T6A8', 'Sgalilaeus__LakeAlbert__U2B2', 'Ochungruruensis__LakeKiungululu__3D9', 'Ourolepis__Ifakara__T9J4', 'Oleucostictus__LakeAlbert__U3L3', 'Oamphimelas__LakeSulungali__T9F2', 'Oshiranus__Metangula__RB10-A251', 'Oamphimelas__LakeManyara__P3H2', 'Omacrochir__Zambia__CFH11-078', 'Ojipe__NyumbayaMunga__P2G6', 'Okorogwe__MlinganoDam__P4B1', 'Osquamipinnis__LakeMalawi__D14-J04', 'Okorogwe__MlinganoDam__P4B2', 'Oesculentus__LakeRukwa__T10E03', 'Oleucostictus__Malimbe__V56', 'Ohunteri__LakeChala__G2-K2G3', 'Okorogwe__Nambawala__T3J4', 'Orovumae__LakeChidya__141D', 'Orovumae__Rovuma__83-2013', 'Ospilurus1', 'Oshiranus__Lituhu__T8H6', 'Omalagarasi__Uvinza__131', 'Ovariabilis__MakobeIsland__395', 'Goldenchambo__LakeIkapu__G7B3', 'Okaromo__LakeNyamagoma__206', 'Omossambicus__Mozambique__C13', 'Mzebra1', 'Ourolepis__LakeLugongwe__T2J5', 'Oplacidus__Nambuti__73C', 'Oamphimelas__LakeManyara__P3H1', 'Otanganicae__Katanga__41', 'Oshiranus__LakeIlamba__142A', 'Oleucostictus__LakeAlbert__U7L7', 'Oaureus2'}",180,180
ASTRAL-Pro3 vs Weighted_ASTRAL,0,176,0.0,"{'Okarongae__MbambaBay__OR1A3', 'Okaromo__LakeNyamagoma__207', 'Oplacidus__NamiungoRiver__123B', 'Omalagarasi__Uvinza__130', 'Oleucostictus__Malimbe__V46', 'Oesculentus__Malimbe__MG340', 'Oniloticus__Malimbe__V79', 'Oplacidus__Nambuti__73D', 'Okorogwe__Nambawala__T3J6', 'Omtera__MteraDam__T9I4', 'Oshiranus__LakeKingiri__373', 'Oshiranus__LakeKingiri__97A', 'Oniloticus__LakeAlbert__U1A1', 'Orukwaensis__LakeRukwa__T10D02', 'Osquamipinnis__LakeIlamba__120B', 'Ourolepis__Kilombero__F4', 'Ohunteri__LakeChala__G1-K2G2', 'Oshiranus__Salima__411B', 'Goldenchambo__LakeIkapu__G7B1', 'Oaureus1', 'Ourolepis__ZanzibarSite4__Z1D7', 'Oesculentus__Malimbe__V71', 'Oplacidus__Mozambique__AC13-A128', 'Orukwaensis__LakeRukwa__24-2012', 'Osquamipinnis__LakeKingiri__94B', 'Ovariabilis__MakobeIsland__396', 'Oshiranuschilwae__MalawiBUaquarium__OR1A2', 'Omossambicus__SouthAfrica__RB09-059', 'Oplacidus__NamiungoRiver__122A', 'Ourolepis__Kilombero__F3', 'Oshiranus__LakeIlamba__152', 'Orovumae__LakeChidya__141A', 'Oniloticus__LakeAlbert__U3A3', 'Oesculentus__LakeRukwa__T10F04', 'Ogirigan__LakeJipe__P3C5', 'Agrahami__LakeMagadi__Ag2630', 'Oniloticus__Malimbe__V77', 'Otanganicae__Katanga__42', 'Omacrochir__Angola__RB12-A050', 'Oplacidus__Mozambique__AC13-A158', 'Ourolepis__Ifakara__T9J7', 'Osquamipinnis__LakeMalawi__D14-J06', 'Osquamipinnis__LakeKingiri__94A', 'Oshiranus__Lituhu__T8H7', 'Omtera__MteraReservoir__14_1G1', 'Agrahami__LakeMagadi__Ag2638', 'Sgalilaeus__LakeAlbert__U1B1', 'Osquamipinnis__LakeMassoko__221A', 'Ourolepis__LakeLugongwe__T3D1', 'Ourolepis__WamiRiver__14_1E1', 'Ogirigan__LakeKumba__P1E1', 'Oamphimelas__LakeSulungali__T9F4', 'Ojipe__NyumbayaMunga__P2G3', 'Oshiranus__Salima__409A', 'Mzebra2', 'Ochungruruensis__LakeKiungululu__300', 'Ourolepis__ZanzibarSite3__Z1B9', 'Ourolepis__Mbuyunipool__T6A8', 'Sgalilaeus__LakeAlbert__U2B2', 'Ochungruruensis__LakeKiungululu__3D9', 'Ourolepis__Ifakara__T9J4', 'Oleucostictus__LakeAlbert__U3L3', 'Oshiranus__Metangula__RB10-A251', 'Oamphimelas__LakeSulungali__T9F2', 'Oamphimelas__LakeManyara__P3H2', 'Omacrochir__Zambia__CFH11-078', 'Ojipe__NyumbayaMunga__P2G6', 'Okorogwe__MlinganoDam__P4B1', 'Osquamipinnis__LakeMalawi__D14-J04', 'Okorogwe__MlinganoDam__P4B2', 'Oesculentus__LakeRukwa__T10E03', 'Oleucostictus__Malimbe__V56', 'Ohunteri__LakeChala__G2-K2G3', 'Okorogwe__Nambawala__T3J4', 'Orovumae__LakeChidya__141D', 'Orovumae__Rovuma__83-2013', 'Ospilurus1', 'Oshiranus__Lituhu__T8H6', 'Omalagarasi__Uvinza__131', 'Ovariabilis__MakobeIsland__395', 'Goldenchambo__LakeIkapu__G7B3', 'Okaromo__LakeNyamagoma__206', 'Omossambicus__Mozambique__C13', 'Mzebra1', 'Ourolepis__LakeLugongwe__T2J5', 'Oplacidus__Nambuti__73C', 'Oamphimelas__LakeManyara__P3H1', 'Otanganicae__Katanga__41', 'Oshiranus__LakeIlamba__142A', 'Oleucostictus__LakeAlbert__U7L7', 'Oaureus2'}",180,180
IQ-Tree vs TreeQMC,36,176,0.20454545454545456,"{'Okarongae__MbambaBay__OR1A3', 'Okaromo__LakeNyamagoma__207', 'Oplacidus__NamiungoRiver__123B', 'Omalagarasi__Uvinza__130', 'Oleucostictus__Malimbe__V46', 'Oesculentus__Malimbe__MG340', 'Oniloticus__Malimbe__V79', 'Omtera__MteraDam__T9I4', 'Oplacidus__Nambuti__73D', 'Okorogwe__Nambawala__T3J6', 'Oshiranus__LakeKingiri__373', 'Oshiranus__LakeKingiri__97A', 'Oniloticus__LakeAlbert__U1A1', 'Orukwaensis__LakeRukwa__T10D02', 'Osquamipinnis__LakeIlamba__120B', 'Ourolepis__Kilombero__F4', 'Ohunteri__LakeChala__G1-K2G2', 'Oshiranus__Salima__411B', 'Goldenchambo__LakeIkapu__G7B1', 'Oaureus1', 'Ourolepis__ZanzibarSite4__Z1D7', 'Oesculentus__Malimbe__V71', 'Orukwaensis__LakeRukwa__24-2012', 'Oplacidus__Mozambique__AC13-A128', 'Osquamipinnis__LakeKingiri__94B', 'Ovariabilis__MakobeIsland__396', 'Oshiranuschilwae__MalawiBUaquarium__OR1A2', 'Omossambicus__SouthAfrica__RB09-059', 'Oplacidus__NamiungoRiver__122A', 'Ourolepis__Kilombero__F3', 'Oshiranus__LakeIlamba__152', 'Orovumae__LakeChidya__141A', 'Oniloticus__LakeAlbert__U3A3', 'Oesculentus__LakeRukwa__T10F04', 'Ogirigan__LakeJipe__P3C5', 'Agrahami__LakeMagadi__Ag2630', 'Oniloticus__Malimbe__V77', 'Otanganicae__Katanga__42', 'Omacrochir__Angola__RB12-A050', 'Oplacidus__Mozambique__AC13-A158', 'Ourolepis__Ifakara__T9J7', 'Osquamipinnis__LakeMalawi__D14-J06', 'Omtera__MteraReservoir__14_1G1', 'Osquamipinnis__LakeKingiri__94A', 'Oshiranus__Lituhu__T8H7', 'Agrahami__LakeMagadi__Ag2638', 'Sgalilaeus__LakeAlbert__U1B1', 'Osquamipinnis__LakeMassoko__221A', 'Ourolepis__LakeLugongwe__T3D1', 'Ourolepis__WamiRiver__14_1E1', 'Ogirigan__LakeKumba__P1E1', 'Oamphimelas__LakeSulungali__T9F4', 'Ojipe__NyumbayaMunga__P2G3', 'Oshiranus__Salima__409A', 'Mzebra2', 'Ochungruruensis__LakeKiungululu__300', 'Ourolepis__ZanzibarSite3__Z1B9', 'Ourolepis__Mbuyunipool__T6A8', 'Sgalilaeus__LakeAlbert__U2B2', 'Ochungruruensis__LakeKiungululu__3D9', 'Ourolepis__Ifakara__T9J4', 'Oleucostictus__LakeAlbert__U3L3', 'Oamphimelas__LakeSulungali__T9F2', 'Oshiranus__Metangula__RB10-A251', 'Oamphimelas__LakeManyara__P3H2', 'Omacrochir__Zambia__CFH11-078', 'Ojipe__NyumbayaMunga__P2G6', 'Okorogwe__MlinganoDam__P4B1', 'Osquamipinnis__LakeMalawi__D14-J04', 'Okorogwe__MlinganoDam__P4B2', 'Oesculentus__LakeRukwa__T10E03', 'Oleucostictus__Malimbe__V56', 'Ohunteri__LakeChala__G2-K2G3', 'Okorogwe__Nambawala__T3J4', 'Orovumae__LakeChidya__141D', 'Orovumae__Rovuma__83-2013', 'Ospilurus1', 'Oshiranus__Lituhu__T8H6', 'Omalagarasi__Uvinza__131', 'Ovariabilis__MakobeIsland__395', 'Goldenchambo__LakeIkapu__G7B3', 'Okaromo__LakeNyamagoma__206', 'Omossambicus__Mozambique__C13', 'Mzebra1', 'Ourolepis__LakeLugongwe__T2J5', 'Oplacidus__Nambuti__73C', 'Oamphimelas__LakeManyara__P3H1', 'Otanganicae__Katanga__41', 'Oshiranus__LakeIlamba__142A', 'Oleucostictus__LakeAlbert__U7L7', 'Oaureus2'}",180,180
IQ-Tree vs Weighted_ASTRAL,34,176,0.19318181818181818,"{'Okarongae__MbambaBay__OR1A3', 'Okaromo__LakeNyamagoma__207', 'Oplacidus__NamiungoRiver__123B', 'Omalagarasi__Uvinza__130', 'Oleucostictus__Malimbe__V46', 'Oesculentus__Malimbe__MG340', 'Oniloticus__Malimbe__V79', 'Oplacidus__Nambuti__73D', 'Okorogwe__Nambawala__T3J6', 'Omtera__MteraDam__T9I4', 'Oshiranus__LakeKingiri__373', 'Oshiranus__LakeKingiri__97A', 'Oniloticus__LakeAlbert__U1A1', 'Orukwaensis__LakeRukwa__T10D02', 'Osquamipinnis__LakeIlamba__120B', 'Ourolepis__Kilombero__F4', 'Ohunteri__LakeChala__G1-K2G2', 'Oshiranus__Salima__411B', 'Goldenchambo__LakeIkapu__G7B1', 'Oaureus1', 'Ourolepis__ZanzibarSite4__Z1D7', 'Oesculentus__Malimbe__V71', 'Oplacidus__Mozambique__AC13-A128', 'Orukwaensis__LakeRukwa__24-2012', 'Osquamipinnis__LakeKingiri__94B', 'Ovariabilis__MakobeIsland__396', 'Oshiranuschilwae__MalawiBUaquarium__OR1A2', 'Omossambicus__SouthAfrica__RB09-059', 'Oplacidus__NamiungoRiver__122A', 'Ourolepis__Kilombero__F3', 'Oshiranus__LakeIlamba__152', 'Orovumae__LakeChidya__141A', 'Oniloticus__LakeAlbert__U3A3', 'Oesculentus__LakeRukwa__T10F04', 'Ogirigan__LakeJipe__P3C5', 'Agrahami__LakeMagadi__Ag2630', 'Oniloticus__Malimbe__V77', 'Otanganicae__Katanga__42', 'Omacrochir__Angola__RB12-A050', 'Oplacidus__Mozambique__AC13-A158', 'Ourolepis__Ifakara__T9J7', 'Osquamipinnis__LakeMalawi__D14-J06', 'Osquamipinnis__LakeKingiri__94A', 'Oshiranus__Lituhu__T8H7', 'Omtera__MteraReservoir__14_1G1', 'Agrahami__LakeMagadi__Ag2638', 'Sgalilaeus__LakeAlbert__U1B1', 'Osquamipinnis__LakeMassoko__221A', 'Ourolepis__LakeLugongwe__T3D1', 'Ourolepis__WamiRiver__14_1E1', 'Ogirigan__LakeKumba__P1E1', 'Oamphimelas__LakeSulungali__T9F4', 'Ojipe__NyumbayaMunga__P2G3', 'Oshiranus__Salima__409A', 'Mzebra2', 'Ochungruruensis__LakeKiungululu__300', 'Ourolepis__ZanzibarSite3__Z1B9', 'Ourolepis__Mbuyunipool__T6A8', 'Sgalilaeus__LakeAlbert__U2B2', 'Ochungruruensis__LakeKiungululu__3D9', 'Ourolepis__Ifakara__T9J4', 'Oleucostictus__LakeAlbert__U3L3', 'Oshiranus__Metangula__RB10-A251', 'Oamphimelas__LakeSulungali__T9F2', 'Oamphimelas__LakeManyara__P3H2', 'Omacrochir__Zambia__CFH11-078', 'Ojipe__NyumbayaMunga__P2G6', 'Okorogwe__MlinganoDam__P4B1', 'Osquamipinnis__LakeMalawi__D14-J04', 'Okorogwe__MlinganoDam__P4B2', 'Oesculentus__LakeRukwa__T10E03', 'Oleucostictus__Malimbe__V56', 'Ohunteri__LakeChala__G2-K2G3', 'Okorogwe__Nambawala__T3J4', 'Orovumae__LakeChidya__141D', 'Orovumae__Rovuma__83-2013', 'Ospilurus1', 'Oshiranus__Lituhu__T8H6', 'Omalagarasi__Uvinza__131', 'Ovariabilis__MakobeIsland__395', 'Goldenchambo__LakeIkapu__G7B3', 'Okaromo__LakeNyamagoma__206', 'Omossambicus__Mozambique__C13', 'Mzebra1', 'Ourolepis__LakeLugongwe__T2J5', 'Oplacidus__Nambuti__73C', 'Oamphimelas__LakeManyara__P3H1', 'Otanganicae__Katanga__41', 'Oshiranus__LakeIlamba__142A', 'Oleucostictus__LakeAlbert__U7L7', 'Oaureus2'}",180,180
TreeQMC vs Weighted_ASTRAL,6,176,0.03409090909090909,"{'Okarongae__MbambaBay__OR1A3', 'Okaromo__LakeNyamagoma__207', 'Oplacidus__NamiungoRiver__123B', 'Omalagarasi__Uvinza__130', 'Oleucostictus__Malimbe__V46', 'Oesculentus__Malimbe__MG340', 'Oniloticus__Malimbe__V79', 'Oplacidus__Nambuti__73D', 'Okorogwe__Nambawala__T3J6', 'Omtera__MteraDam__T9I4', 'Oshiranus__LakeKingiri__373', 'Oshiranus__LakeKingiri__97A', 'Oniloticus__LakeAlbert__U1A1', 'Orukwaensis__LakeRukwa__T10D02', 'Osquamipinnis__LakeIlamba__120B', 'Ourolepis__Kilombero__F4', 'Ohunteri__LakeChala__G1-K2G2', 'Oshiranus__Salima__411B', 'Goldenchambo__LakeIkapu__G7B1', 'Oaureus1', 'Ourolepis__ZanzibarSite4__Z1D7', 'Oesculentus__Malimbe__V71', 'Oplacidus__Mozambique__AC13-A128', 'Orukwaensis__LakeRukwa__24-2012', 'Osquamipinnis__LakeKingiri__94B', 'Ovariabilis__MakobeIsland__396', 'Oshiranuschilwae__MalawiBUaquarium__OR1A2', 'Omossambicus__SouthAfrica__RB09-059', 'Oplacidus__NamiungoRiver__122A', 'Ourolepis__Kilombero__F3', 'Oshiranus__LakeIlamba__152', 'Orovumae__LakeChidya__141A', 'Oniloticus__LakeAlbert__U3A3', 'Oesculentus__LakeRukwa__T10F04', 'Ogirigan__LakeJipe__P3C5', 'Agrahami__LakeMagadi__Ag2630', 'Oniloticus__Malimbe__V77', 'Otanganicae__Katanga__42', 'Omacrochir__Angola__RB12-A050', 'Oplacidus__Mozambique__AC13-A158', 'Ourolepis__Ifakara__T9J7', 'Osquamipinnis__LakeMalawi__D14-J06', 'Osquamipinnis__LakeKingiri__94A', 'Oshiranus__Lituhu__T8H7', 'Omtera__MteraReservoir__14_1G1', 'Agrahami__LakeMagadi__Ag2638', 'Sgalilaeus__LakeAlbert__U1B1', 'Osquamipinnis__LakeMassoko__221A', 'Ourolepis__LakeLugongwe__T3D1', 'Ourolepis__WamiRiver__14_1E1', 'Ogirigan__LakeKumba__P1E1', 'Oamphimelas__LakeSulungali__T9F4', 'Ojipe__NyumbayaMunga__P2G3', 'Oshiranus__Salima__409A', 'Mzebra2', 'Ochungruruensis__LakeKiungululu__300', 'Ourolepis__ZanzibarSite3__Z1B9', 'Ourolepis__Mbuyunipool__T6A8', 'Sgalilaeus__LakeAlbert__U2B2', 'Ochungruruensis__LakeKiungululu__3D9', 'Ourolepis__Ifakara__T9J4', 'Oleucostictus__LakeAlbert__U3L3', 'Oshiranus__Metangula__RB10-A251', 'Oamphimelas__LakeSulungali__T9F2', 'Oamphimelas__LakeManyara__P3H2', 'Omacrochir__Zambia__CFH11-078', 'Ojipe__NyumbayaMunga__P2G6', 'Okorogwe__MlinganoDam__P4B1', 'Osquamipinnis__LakeMalawi__D14-J04', 'Okorogwe__MlinganoDam__P4B2', 'Oesculentus__LakeRukwa__T10E03', 'Oleucostictus__Malimbe__V56', 'Ohunteri__LakeChala__G2-K2G3', 'Okorogwe__Nambawala__T3J4', 'Orovumae__LakeChidya__141D', 'Orovumae__Rovuma__83-2013', 'Ospilurus1', 'Oshiranus__Lituhu__T8H6', 'Omalagarasi__Uvinza__131', 'Ovariabilis__MakobeIsland__395', 'Goldenchambo__LakeIkapu__G7B3', 'Okaromo__LakeNyamagoma__206', 'Omossambicus__Mozambique__C13', 'Mzebra1', 'Ourolepis__LakeLugongwe__T2J5', 'Oplacidus__Nambuti__73C', 'Oamphimelas__LakeManyara__P3H1', 'Otanganicae__Katanga__41', 'Oshiranus__LakeIlamba__142A', 'Oleucostictus__LakeAlbert__U7L7', 'Oaureus2'}",180,180
