Tree Label,Sackin Index,Number of Leaves,Tree Height,Total Branch Length,Cherry Count
ASTRAL-Pro3,11.846153846153847,91,13.0,181.0,38
IQ-Tree,11.208791208791208,91,1.11380023225,1.9806742586999997,35
TreeQMC,7.670329670329671,91,12.5,181.0,40
Weighted_ASTRAL,11.846153846153847,91,13.0,181.0,38
