Tree Label,Sackin Index,Number of Leaves,Tree Height,Total Branch Length,Cherry Count
ASTRAL-Pro3,11.67032967032967,91,13.0,181.0,39
IQ-Tree,11.032967032967033,91,1.1387849327500001,2.1537894128,35
TreeQMC,7.483516483516484,91,12.5,181.0,39
Weighted_ASTRAL,12.659340659340659,91,12.5,181.0,37
