Tree Label,Sackin Index,Number of Leaves,Tree Height,Total Branch Length,Cherry Count
ASTRAL-Pro3,20.842424242424244,165,1.0957985,1.871371,59
TreeQMC,10.8,165,19.5,329.0,61
Weighted_ASTRAL,19.181818181818183,165,14.755779500000001,310.99904400000025,61
