Tree Pair,RF Distance,Max RF,Normalized RF,Common Leaves,Unique Partitions T1,Unique Partitions T2
ASTRAL-Pro3 vs IQ-Tree,12,44,0.2727272727272727,"{'s05_punctata', 's03_douglasii_4x', 's23_nigra', 's17_chrysocarpa_4x', 'apple', 's13_saligna', 's09_crus-galli', 's11_macracantha_4x', 's01_calpodendron', 's12_rivularis_4x', 's16_douglasii_4x', 's10_brachyacantha', 's07_germanica', 's02_wilsonii', 's14_saligna', 's21_monogyna', 's19_douglasii_4x', 's08_opaca', 's04_rivularis_4x', 's15_suksdorfii', 's24_suksdorfii', 's22_triflora', 's06_chrysocarpa_4x', 's20_rivularis_4x', 's18_macracantha_4x'}",48,48
ASTRAL-Pro3 vs TreeQMC,0,44,0.0,"{'s05_punctata', 's03_douglasii_4x', 's23_nigra', 's17_chrysocarpa_4x', 'apple', 's13_saligna', 's09_crus-galli', 's11_macracantha_4x', 's01_calpodendron', 's12_rivularis_4x', 's16_douglasii_4x', 's10_brachyacantha', 's07_germanica', 's02_wilsonii', 's14_saligna', 's21_monogyna', 's19_douglasii_4x', 's04_rivularis_4x', 's08_opaca', 's15_suksdorfii', 's24_suksdorfii', 's22_triflora', 's06_chrysocarpa_4x', 's20_rivularis_4x', 's18_macracantha_4x'}",48,48
ASTRAL-Pro3 vs Weighted_ASTRAL,0,44,0.0,"{'s05_punctata', 's03_douglasii_4x', 's23_nigra', 's17_chrysocarpa_4x', 'apple', 's13_saligna', 's09_crus-galli', 's11_macracantha_4x', 's01_calpodendron', 's12_rivularis_4x', 's16_douglasii_4x', 's10_brachyacantha', 's07_germanica', 's02_wilsonii', 's14_saligna', 's19_douglasii_4x', 's21_monogyna', 's04_rivularis_4x', 's08_opaca', 's15_suksdorfii', 's24_suksdorfii', 's22_triflora', 's06_chrysocarpa_4x', 's20_rivularis_4x', 's18_macracantha_4x'}",48,48
IQ-Tree vs TreeQMC,12,44,0.2727272727272727,"{'s05_punctata', 's03_douglasii_4x', 's23_nigra', 's17_chrysocarpa_4x', 'apple', 's13_saligna', 's09_crus-galli', 's11_macracantha_4x', 's01_calpodendron', 's12_rivularis_4x', 's16_douglasii_4x', 's10_brachyacantha', 's07_germanica', 's02_wilsonii', 's14_saligna', 's21_monogyna', 's19_douglasii_4x', 's04_rivularis_4x', 's08_opaca', 's15_suksdorfii', 's24_suksdorfii', 's22_triflora', 's06_chrysocarpa_4x', 's20_rivularis_4x', 's18_macracantha_4x'}",48,48
IQ-Tree vs Weighted_ASTRAL,12,44,0.2727272727272727,"{'s05_punctata', 's03_douglasii_4x', 's23_nigra', 's17_chrysocarpa_4x', 'apple', 's13_saligna', 's09_crus-galli', 's11_macracantha_4x', 's01_calpodendron', 's12_rivularis_4x', 's16_douglasii_4x', 's10_brachyacantha', 's07_germanica', 's02_wilsonii', 's14_saligna', 's19_douglasii_4x', 's21_monogyna', 's04_rivularis_4x', 's08_opaca', 's15_suksdorfii', 's24_suksdorfii', 's22_triflora', 's06_chrysocarpa_4x', 's20_rivularis_4x', 's18_macracantha_4x'}",48,48
TreeQMC vs Weighted_ASTRAL,0,44,0.0,"{'s05_punctata', 's03_douglasii_4x', 's23_nigra', 's17_chrysocarpa_4x', 'apple', 's13_saligna', 's09_crus-galli', 's11_macracantha_4x', 's01_calpodendron', 's12_rivularis_4x', 's16_douglasii_4x', 's10_brachyacantha', 's07_germanica', 's02_wilsonii', 's14_saligna', 's19_douglasii_4x', 's21_monogyna', 's04_rivularis_4x', 's08_opaca', 's15_suksdorfii', 's24_suksdorfii', 's22_triflora', 's06_chrysocarpa_4x', 's20_rivularis_4x', 's18_macracantha_4x'}",48,48
