Tree Pair,RF Distance,Max RF,Normalized RF,Common Leaves,Unique Partitions T1,Unique Partitions T2
ASTRAL-Pro3 vs IQ-Tree,12,44,0.2727272727272727,"{'s10_brachyacantha', 's08_opaca', 's09_crus-galli', 's05_punctata', 's11_macracantha_4x', 's15_suksdorfii', 's13_saligna', 'apple', 's22_triflora', 's07_germanica', 's16_douglasii_4x', 's01_calpodendron', 's20_rivularis_4x', 's14_saligna', 's18_macracantha_4x', 's21_monogyna', 's02_wilsonii', 's03_douglasii_4x', 's19_douglasii_4x', 's04_rivularis_4x', 's06_chrysocarpa_4x', 's24_suksdorfii', 's23_nigra', 's12_rivularis_4x', 's17_chrysocarpa_4x'}",48,48
ASTRAL-Pro3 vs TreeQMC,0,44,0.0,"{'s10_brachyacantha', 's08_opaca', 's09_crus-galli', 's05_punctata', 's11_macracantha_4x', 's15_suksdorfii', 's13_saligna', 'apple', 's22_triflora', 's07_germanica', 's16_douglasii_4x', 's01_calpodendron', 's20_rivularis_4x', 's14_saligna', 's18_macracantha_4x', 's21_monogyna', 's02_wilsonii', 's19_douglasii_4x', 's03_douglasii_4x', 's06_chrysocarpa_4x', 's24_suksdorfii', 's17_chrysocarpa_4x', 's23_nigra', 's12_rivularis_4x', 's04_rivularis_4x'}",48,48
ASTRAL-Pro3 vs Weighted_ASTRAL,0,44,0.0,"{'s10_brachyacantha', 's08_opaca', 's09_crus-galli', 's05_punctata', 's11_macracantha_4x', 's15_suksdorfii', 's13_saligna', 'apple', 's22_triflora', 's07_germanica', 's16_douglasii_4x', 's01_calpodendron', 's20_rivularis_4x', 's14_saligna', 's18_macracantha_4x', 's21_monogyna', 's02_wilsonii', 's19_douglasii_4x', 's03_douglasii_4x', 's04_rivularis_4x', 's06_chrysocarpa_4x', 's24_suksdorfii', 's23_nigra', 's12_rivularis_4x', 's17_chrysocarpa_4x'}",48,48
IQ-Tree vs TreeQMC,12,44,0.2727272727272727,"{'s10_brachyacantha', 's08_opaca', 's09_crus-galli', 's05_punctata', 's11_macracantha_4x', 's15_suksdorfii', 's13_saligna', 'apple', 's22_triflora', 's07_germanica', 's16_douglasii_4x', 's01_calpodendron', 's20_rivularis_4x', 's14_saligna', 's18_macracantha_4x', 's21_monogyna', 's02_wilsonii', 's19_douglasii_4x', 's03_douglasii_4x', 's06_chrysocarpa_4x', 's24_suksdorfii', 's17_chrysocarpa_4x', 's23_nigra', 's12_rivularis_4x', 's04_rivularis_4x'}",48,48
IQ-Tree vs Weighted_ASTRAL,12,44,0.2727272727272727,"{'s10_brachyacantha', 's08_opaca', 's09_crus-galli', 's05_punctata', 's11_macracantha_4x', 's15_suksdorfii', 's13_saligna', 'apple', 's22_triflora', 's07_germanica', 's16_douglasii_4x', 's01_calpodendron', 's20_rivularis_4x', 's14_saligna', 's18_macracantha_4x', 's21_monogyna', 's02_wilsonii', 's19_douglasii_4x', 's03_douglasii_4x', 's04_rivularis_4x', 's06_chrysocarpa_4x', 's24_suksdorfii', 's23_nigra', 's12_rivularis_4x', 's17_chrysocarpa_4x'}",48,48
TreeQMC vs Weighted_ASTRAL,0,44,0.0,"{'s10_brachyacantha', 's08_opaca', 's09_crus-galli', 's05_punctata', 's11_macracantha_4x', 's15_suksdorfii', 's13_saligna', 'apple', 's22_triflora', 's07_germanica', 's16_douglasii_4x', 's01_calpodendron', 's20_rivularis_4x', 's14_saligna', 's18_macracantha_4x', 's21_monogyna', 's02_wilsonii', 's19_douglasii_4x', 's03_douglasii_4x', 's04_rivularis_4x', 's06_chrysocarpa_4x', 's24_suksdorfii', 's23_nigra', 's12_rivularis_4x', 's17_chrysocarpa_4x'}",48,48
