Tree Pair,RF Distance,Max RF,Normalized RF,Common Leaves,Unique Partitions T1,Unique Partitions T2
ASTRAL-Pro3 vs TreeQMC,36,324,0.1111111111111111,"{'S_nigra_SG037', 'P_adenopoda_WGS-pad03-a', 'S_arbutifolia_Liq-ZLY-2016-099-2', 'I_polycarpa_WGS-2', 'P_koreana_WGS-Pkorea05', 'S_alberti_P294', 'P_angustifolia-WGS-CRR050708', 'S_nigra_SN10M', 'P_wulianensis_WGS-Pwulian03', 'P_ilicifolia_WGS-DSC316', 'S_chaenomeloides_Ljq-SHX-2015-17-1', 'P_lasiocarpa_WGS-Plasi14', 'S_chaenomeloides_WGS-1', 'P_lasiocarpa_WGS-Plasi15', 'P_balsamifera_MGR-01', 'P_balsamifera_WGS-SRR1821258', 'S_petiolaris_07-CAN-483942', 'P_davidiana_WGS-pda10-a', 'S_phlebophylla_SP7F', 'S_sitchensis_07-JMS-0941', 'S_minjiangenis_ZL-087-2', 'S_magnifica_LJQ-ZL-2017-046-1', 'P_trinervis_WGS-Ptriner14', 'P_szechuanica_WGS-Pszechuan15', 'S_suchowensis_XY12', 'P_tremuloides_WGS-SRR2748662', 'P_simonii_WGS-Psimon12', 'P_heterophylla_WGS-PH35M', 'P_tremula_R04-01', 'P_fremontii_WGS-CRR050703', 'S_minjiangenis_ZL-087-1', 'P_deltoides_WGS-SRR2010701', 'S_nivalis_07-DPQC-0033', 'S_pseudomonticola_07-GWA-14342', 'P_wulianensis_WGS-Pwulian04', 'S_lasiandra_07-JMS-1309', 'P_tremula_WGS-Pte04', 'P_grandidentata_GRB03', 'S_pyrifolia_07-GWA-14379', 'P_trichocarpa_WGS-SRR1821253', 'P_deltoides_WGS-SRR2010710', 'S_geyeriana_07-JMS-0974', 'S_triandra_ST5F', 'S_phlebophylla_SP15M', 'S_crenata_LJQ-ZL-2017-077-2', 'S_koriyanagi_04-FF-016', 'P_adenopoda_WGS-pad01-a', 'S_commutata_08-GWA-14446', 'S_bebbiana_WGS-WBT-B1', 'P_monticola_MON01', 'Azara_integrifolia_WGS-196-88-C', 'S_sericea_01-03-188', 'S_eriocephala_00X-024-078', 'P_mexicana_PM3', 'P_balsamifera_WGS-SRR1820069', 'P_tremula_R10-01', 'P_szechuanica_WGS-Pszechuan14', 'P_trinervis_WGS-Ptriner15', 'S_lutea_07-GWA-14382', 'S_triandra_ST6M', 'S_nigra_SN4F', 'S_pseudomonticola_07-GWA-14339', 'P_trichocarpa_WGS-SRR1821254', 'S_hypoleuca_LJQ-ZL-2017-043-1', 'S_lasiolepis_07-PMP-21007', 'S_candida_08-DPQC-0141', 'S_chaenomeloides_Ljq-SHX-2015-17-2', 'S_reticulata_07-JMS-1338', 'S_interior_WGS-BPL-EX1', 'P_nigra_WGS-Pnigra-14', 'P_alba_WGS-Palba06', 'S_drummondiana_07-GWA-14393', 'P_pruinosa_WGS-PPr09', 'S_suchowensis_P63', 'S_nigra_SG051', 'P_heterophylla_WGS-PH49F', 'S_bebbiana_18-01-66', 'S_bebbiana_18-01-044', 'P_angustifolia_NCC02', 'P_ilicifolia_WGS-DSC318', 'S_petiolaris_07-GWA-14351', 'P_mexicana_WGS-PM11', 'S_purpurea_94006', 'S_magnifica_LJQ-ZL-2017-046-2', 'S_eriocephala_S25', 'S_reticulata_07-BAB-292', 'S_discolor_07-GWA-14347', 'P_balsamifera_MGR-04', 'S_niphoclada_07-BAB-251', 'Azara_lanceolata_WGS-191-88-J', 'P_nigra_WGS-Pnigra-12', 'S_uvaursi_07-PMP-20885', 'P_rotundifolia_WGS-Pro01-a', 'S_floccosa_LJQ-ZL-2017-076-2', 'S_alaxensis_78-UBC-162474', 'S_discolor_07-GWA-14355', 'P_ningshanica_WGS-Pning01', 'P_tremula_WGS-Pte06', 'S_exigua_07-DPQC-0003', 'S_exigua_SE002', 'P_simonii_WGS-Psimon14', 'S_suchowensis_P295', 'P_euphratica_WGS-YL037', 'S_arbutifolia_WGS-3', 'P_mexicana_PM5', 'S_drummondiana_08-GWA-14437-1', 'P_tremula_R01-01', 'S_myrtillifolia_07-WAGNER-MYR1', 'P_alba_WGS-Palba05', 'P_qiongdaoensis_WGS-pqi04', 'P_yunnanensis_WGS-Pyunnan15', 'S_interior_01-03-177', 'S_floccosa_LJQ-ZL-2017-076-1', 'P_davidiana_WGS-pda06-a', 'P_ningshanica_WGS-Pning11', 'S_viminalis_Jorr', 'P_angustifolia_NCC03', 'P_grandidentata_GRB02', 'P_yunnanensis_WGS-Pyunnan14', 'Azara_microphylla_WGS-39203-0075-1973', 'S_arizonica_07-CEG-27', 'S_suchowensis_XY7', 'P_pruinosa_WGS-PPr03', 'S_sericea_01-01-090', 'P_wilsonii_WGS-Pwilson05', 'S_arbusculoides_73-UBC-149089', 'Azara_dantata_WGS-34-86-A', 'S_integra_P336', 'P_monticola_MON03', 'S_hypoleuca_LJQ-ZL-2017-043-2', 'S_arizonica_08-CEG-12', 'Carrierea_calycina_WGS-PW0068-031765', 'S_richardsonii_07-BAB-031', 'S_sitchensis_07-JMS-0953', 'S_interior_07-GWA-14343', 'S_exigua_SE053', 'S_udensis_04-bn-051', 'S_amygdaloides_07-GWA-14361', 'P_lasiocarpa_WGS-1', 'P_rotundifolia_WGS-Pro05-b', 'S_sitchensis_WGS-SS', 'P_qiongdaoensis_WGS-pqi02', 'S_scouleriana_WGS-SS', 'P_laurifolia_WGS-Plau1', 'P_koreana_WGS-Pkorea11', 'P_heterophylla_HLC02', 'S_candida_08-DPQC-0136', 'S_drummondiana_08-GWA-14445', 'S_bebbiana_PMC9106888', 'S_pedicellata_08-ISQC-CanIs', 'S_lasiolepis_slas', 'Poliothyrsis_sinensis_WGS-15-91-A', 'S_arbutifolia_Liq-ZLY-2016-099-1', 'P_euphratica_WGS-YL033', 'S_myrtillifolia_07-BAB-224', 'S_crenata_LJQ-ZL-2017-077-1', 'S_niphoclada_07-BAB-250', 'S_arizonica_07-CEG-26', 'P_mexicana_WGS-PM9', 'S_eriocephala_WGS-DUK-E5', 'S_niphoclada_07-BAB-051', 'P_tremuloides_WGS-SRR2748660', 'S_purpurea_94001', 'P_wilsonii_WGS-Pwilson12', 'S_eriocephala_986-5'}",328,328
ASTRAL-Pro3 vs Weighted_ASTRAL,30,324,0.09259259259259259,"{'S_nigra_SG037', 'P_adenopoda_WGS-pad03-a', 'S_arbutifolia_Liq-ZLY-2016-099-2', 'I_polycarpa_WGS-2', 'P_koreana_WGS-Pkorea05', 'S_alberti_P294', 'P_angustifolia-WGS-CRR050708', 'S_nigra_SN10M', 'P_wulianensis_WGS-Pwulian03', 'P_ilicifolia_WGS-DSC316', 'S_chaenomeloides_Ljq-SHX-2015-17-1', 'P_lasiocarpa_WGS-Plasi14', 'S_chaenomeloides_WGS-1', 'P_lasiocarpa_WGS-Plasi15', 'P_balsamifera_MGR-01', 'P_balsamifera_WGS-SRR1821258', 'S_petiolaris_07-CAN-483942', 'P_davidiana_WGS-pda10-a', 'S_phlebophylla_SP7F', 'S_sitchensis_07-JMS-0941', 'S_minjiangenis_ZL-087-2', 'S_magnifica_LJQ-ZL-2017-046-1', 'P_trinervis_WGS-Ptriner14', 'P_szechuanica_WGS-Pszechuan15', 'S_suchowensis_XY12', 'P_tremuloides_WGS-SRR2748662', 'P_simonii_WGS-Psimon12', 'P_heterophylla_WGS-PH35M', 'P_fremontii_WGS-CRR050703', 'P_tremula_R04-01', 'S_minjiangenis_ZL-087-1', 'P_deltoides_WGS-SRR2010701', 'S_nivalis_07-DPQC-0033', 'S_pseudomonticola_07-GWA-14342', 'P_wulianensis_WGS-Pwulian04', 'S_lasiandra_07-JMS-1309', 'P_tremula_WGS-Pte04', 'P_grandidentata_GRB03', 'S_pyrifolia_07-GWA-14379', 'P_trichocarpa_WGS-SRR1821253', 'P_deltoides_WGS-SRR2010710', 'S_triandra_ST5F', 'S_geyeriana_07-JMS-0974', 'S_phlebophylla_SP15M', 'S_crenata_LJQ-ZL-2017-077-2', 'S_koriyanagi_04-FF-016', 'P_adenopoda_WGS-pad01-a', 'S_commutata_08-GWA-14446', 'S_bebbiana_WGS-WBT-B1', 'P_monticola_MON01', 'Azara_integrifolia_WGS-196-88-C', 'S_sericea_01-03-188', 'S_eriocephala_00X-024-078', 'P_mexicana_PM3', 'P_balsamifera_WGS-SRR1820069', 'P_tremula_R10-01', 'P_szechuanica_WGS-Pszechuan14', 'P_trinervis_WGS-Ptriner15', 'S_triandra_ST6M', 'S_lutea_07-GWA-14382', 'S_nigra_SN4F', 'S_pseudomonticola_07-GWA-14339', 'P_trichocarpa_WGS-SRR1821254', 'S_hypoleuca_LJQ-ZL-2017-043-1', 'S_lasiolepis_07-PMP-21007', 'S_candida_08-DPQC-0141', 'S_chaenomeloides_Ljq-SHX-2015-17-2', 'S_reticulata_07-JMS-1338', 'S_interior_WGS-BPL-EX1', 'P_nigra_WGS-Pnigra-14', 'P_alba_WGS-Palba06', 'S_drummondiana_07-GWA-14393', 'P_pruinosa_WGS-PPr09', 'S_suchowensis_P63', 'S_nigra_SG051', 'P_heterophylla_WGS-PH49F', 'S_bebbiana_18-01-66', 'S_bebbiana_18-01-044', 'P_angustifolia_NCC02', 'P_ilicifolia_WGS-DSC318', 'S_petiolaris_07-GWA-14351', 'P_mexicana_WGS-PM11', 'S_magnifica_LJQ-ZL-2017-046-2', 'S_purpurea_94006', 'S_eriocephala_S25', 'S_reticulata_07-BAB-292', 'S_discolor_07-GWA-14347', 'P_balsamifera_MGR-04', 'S_niphoclada_07-BAB-251', 'Azara_lanceolata_WGS-191-88-J', 'P_nigra_WGS-Pnigra-12', 'S_uvaursi_07-PMP-20885', 'P_rotundifolia_WGS-Pro01-a', 'S_floccosa_LJQ-ZL-2017-076-2', 'S_alaxensis_78-UBC-162474', 'S_discolor_07-GWA-14355', 'P_ningshanica_WGS-Pning01', 'P_tremula_WGS-Pte06', 'S_exigua_07-DPQC-0003', 'S_exigua_SE002', 'P_simonii_WGS-Psimon14', 'S_suchowensis_P295', 'P_euphratica_WGS-YL037', 'S_arbutifolia_WGS-3', 'S_drummondiana_08-GWA-14437-1', 'P_mexicana_PM5', 'P_tremula_R01-01', 'S_myrtillifolia_07-WAGNER-MYR1', 'P_alba_WGS-Palba05', 'P_qiongdaoensis_WGS-pqi04', 'P_yunnanensis_WGS-Pyunnan15', 'S_interior_01-03-177', 'S_floccosa_LJQ-ZL-2017-076-1', 'P_davidiana_WGS-pda06-a', 'P_ningshanica_WGS-Pning11', 'S_viminalis_Jorr', 'P_angustifolia_NCC03', 'P_yunnanensis_WGS-Pyunnan14', 'P_grandidentata_GRB02', 'Azara_microphylla_WGS-39203-0075-1973', 'S_arizonica_07-CEG-27', 'S_suchowensis_XY7', 'P_pruinosa_WGS-PPr03', 'S_sericea_01-01-090', 'S_arbusculoides_73-UBC-149089', 'P_wilsonii_WGS-Pwilson05', 'Azara_dantata_WGS-34-86-A', 'S_integra_P336', 'P_monticola_MON03', 'S_hypoleuca_LJQ-ZL-2017-043-2', 'S_arizonica_08-CEG-12', 'Carrierea_calycina_WGS-PW0068-031765', 'S_richardsonii_07-BAB-031', 'S_interior_07-GWA-14343', 'S_sitchensis_07-JMS-0953', 'S_exigua_SE053', 'S_udensis_04-bn-051', 'S_amygdaloides_07-GWA-14361', 'P_lasiocarpa_WGS-1', 'P_rotundifolia_WGS-Pro05-b', 'S_sitchensis_WGS-SS', 'P_qiongdaoensis_WGS-pqi02', 'S_scouleriana_WGS-SS', 'P_laurifolia_WGS-Plau1', 'P_koreana_WGS-Pkorea11', 'S_candida_08-DPQC-0136', 'P_heterophylla_HLC02', 'S_drummondiana_08-GWA-14445', 'S_bebbiana_PMC9106888', 'S_pedicellata_08-ISQC-CanIs', 'S_lasiolepis_slas', 'Poliothyrsis_sinensis_WGS-15-91-A', 'S_arbutifolia_Liq-ZLY-2016-099-1', 'P_euphratica_WGS-YL033', 'S_myrtillifolia_07-BAB-224', 'S_crenata_LJQ-ZL-2017-077-1', 'S_niphoclada_07-BAB-250', 'S_arizonica_07-CEG-26', 'S_niphoclada_07-BAB-051', 'P_mexicana_WGS-PM9', 'S_eriocephala_WGS-DUK-E5', 'P_tremuloides_WGS-SRR2748660', 'S_purpurea_94001', 'P_wilsonii_WGS-Pwilson12', 'S_eriocephala_986-5'}",328,328
TreeQMC vs Weighted_ASTRAL,26,324,0.08024691358024691,"{'S_nigra_SG037', 'P_adenopoda_WGS-pad03-a', 'S_arbutifolia_Liq-ZLY-2016-099-2', 'I_polycarpa_WGS-2', 'P_koreana_WGS-Pkorea05', 'S_alberti_P294', 'P_angustifolia-WGS-CRR050708', 'S_nigra_SN10M', 'P_wulianensis_WGS-Pwulian03', 'P_ilicifolia_WGS-DSC316', 'S_chaenomeloides_Ljq-SHX-2015-17-1', 'P_lasiocarpa_WGS-Plasi14', 'S_chaenomeloides_WGS-1', 'P_lasiocarpa_WGS-Plasi15', 'P_balsamifera_MGR-01', 'P_balsamifera_WGS-SRR1821258', 'S_petiolaris_07-CAN-483942', 'P_davidiana_WGS-pda10-a', 'S_phlebophylla_SP7F', 'S_sitchensis_07-JMS-0941', 'S_minjiangenis_ZL-087-2', 'S_magnifica_LJQ-ZL-2017-046-1', 'P_trinervis_WGS-Ptriner14', 'P_szechuanica_WGS-Pszechuan15', 'S_suchowensis_XY12', 'P_tremuloides_WGS-SRR2748662', 'P_simonii_WGS-Psimon12', 'P_heterophylla_WGS-PH35M', 'P_fremontii_WGS-CRR050703', 'P_tremula_R04-01', 'S_minjiangenis_ZL-087-1', 'P_deltoides_WGS-SRR2010701', 'S_nivalis_07-DPQC-0033', 'S_pseudomonticola_07-GWA-14342', 'P_wulianensis_WGS-Pwulian04', 'S_lasiandra_07-JMS-1309', 'P_tremula_WGS-Pte04', 'P_grandidentata_GRB03', 'S_pyrifolia_07-GWA-14379', 'P_trichocarpa_WGS-SRR1821253', 'P_deltoides_WGS-SRR2010710', 'S_triandra_ST5F', 'S_geyeriana_07-JMS-0974', 'S_phlebophylla_SP15M', 'S_crenata_LJQ-ZL-2017-077-2', 'S_koriyanagi_04-FF-016', 'P_adenopoda_WGS-pad01-a', 'S_commutata_08-GWA-14446', 'S_bebbiana_WGS-WBT-B1', 'P_monticola_MON01', 'Azara_integrifolia_WGS-196-88-C', 'S_sericea_01-03-188', 'S_eriocephala_00X-024-078', 'P_mexicana_PM3', 'P_balsamifera_WGS-SRR1820069', 'P_tremula_R10-01', 'P_szechuanica_WGS-Pszechuan14', 'P_trinervis_WGS-Ptriner15', 'S_triandra_ST6M', 'S_lutea_07-GWA-14382', 'S_nigra_SN4F', 'S_pseudomonticola_07-GWA-14339', 'P_trichocarpa_WGS-SRR1821254', 'S_hypoleuca_LJQ-ZL-2017-043-1', 'S_lasiolepis_07-PMP-21007', 'S_candida_08-DPQC-0141', 'S_chaenomeloides_Ljq-SHX-2015-17-2', 'S_reticulata_07-JMS-1338', 'S_interior_WGS-BPL-EX1', 'P_nigra_WGS-Pnigra-14', 'P_alba_WGS-Palba06', 'S_drummondiana_07-GWA-14393', 'P_pruinosa_WGS-PPr09', 'S_suchowensis_P63', 'S_nigra_SG051', 'P_heterophylla_WGS-PH49F', 'S_bebbiana_18-01-66', 'S_bebbiana_18-01-044', 'P_angustifolia_NCC02', 'P_ilicifolia_WGS-DSC318', 'S_petiolaris_07-GWA-14351', 'P_mexicana_WGS-PM11', 'S_magnifica_LJQ-ZL-2017-046-2', 'S_purpurea_94006', 'S_eriocephala_S25', 'S_reticulata_07-BAB-292', 'S_discolor_07-GWA-14347', 'P_balsamifera_MGR-04', 'S_niphoclada_07-BAB-251', 'Azara_lanceolata_WGS-191-88-J', 'P_nigra_WGS-Pnigra-12', 'S_uvaursi_07-PMP-20885', 'P_rotundifolia_WGS-Pro01-a', 'S_floccosa_LJQ-ZL-2017-076-2', 'S_alaxensis_78-UBC-162474', 'S_discolor_07-GWA-14355', 'P_ningshanica_WGS-Pning01', 'P_tremula_WGS-Pte06', 'S_exigua_07-DPQC-0003', 'S_exigua_SE002', 'P_simonii_WGS-Psimon14', 'S_suchowensis_P295', 'P_euphratica_WGS-YL037', 'S_arbutifolia_WGS-3', 'S_drummondiana_08-GWA-14437-1', 'P_mexicana_PM5', 'P_tremula_R01-01', 'S_myrtillifolia_07-WAGNER-MYR1', 'P_alba_WGS-Palba05', 'P_qiongdaoensis_WGS-pqi04', 'P_yunnanensis_WGS-Pyunnan15', 'S_interior_01-03-177', 'S_floccosa_LJQ-ZL-2017-076-1', 'P_davidiana_WGS-pda06-a', 'P_ningshanica_WGS-Pning11', 'S_viminalis_Jorr', 'P_angustifolia_NCC03', 'P_yunnanensis_WGS-Pyunnan14', 'P_grandidentata_GRB02', 'Azara_microphylla_WGS-39203-0075-1973', 'S_arizonica_07-CEG-27', 'S_suchowensis_XY7', 'P_pruinosa_WGS-PPr03', 'S_sericea_01-01-090', 'S_arbusculoides_73-UBC-149089', 'P_wilsonii_WGS-Pwilson05', 'Azara_dantata_WGS-34-86-A', 'S_integra_P336', 'P_monticola_MON03', 'S_hypoleuca_LJQ-ZL-2017-043-2', 'S_arizonica_08-CEG-12', 'Carrierea_calycina_WGS-PW0068-031765', 'S_richardsonii_07-BAB-031', 'S_interior_07-GWA-14343', 'S_sitchensis_07-JMS-0953', 'S_exigua_SE053', 'S_udensis_04-bn-051', 'S_amygdaloides_07-GWA-14361', 'P_lasiocarpa_WGS-1', 'P_rotundifolia_WGS-Pro05-b', 'S_sitchensis_WGS-SS', 'P_qiongdaoensis_WGS-pqi02', 'S_scouleriana_WGS-SS', 'P_laurifolia_WGS-Plau1', 'P_koreana_WGS-Pkorea11', 'S_candida_08-DPQC-0136', 'P_heterophylla_HLC02', 'S_drummondiana_08-GWA-14445', 'S_bebbiana_PMC9106888', 'S_pedicellata_08-ISQC-CanIs', 'S_lasiolepis_slas', 'Poliothyrsis_sinensis_WGS-15-91-A', 'S_arbutifolia_Liq-ZLY-2016-099-1', 'P_euphratica_WGS-YL033', 'S_myrtillifolia_07-BAB-224', 'S_crenata_LJQ-ZL-2017-077-1', 'S_niphoclada_07-BAB-250', 'S_arizonica_07-CEG-26', 'S_niphoclada_07-BAB-051', 'P_mexicana_WGS-PM9', 'S_eriocephala_WGS-DUK-E5', 'P_tremuloides_WGS-SRR2748660', 'S_purpurea_94001', 'P_wilsonii_WGS-Pwilson12', 'S_eriocephala_986-5'}",328,328
