Tree Pair,Robinson-Foulds Distance,Weighted RF Distance,Conflicting Splits
ASTRAL-Pro3 vs TreeQMC,0,N/A,0
ASTRAL-Pro3 vs Weighted_ASTRAL,0,N/A,0
TreeQMC vs Weighted_ASTRAL,0,N/A,0
