Tree Pair,RF Distance,Max RF,Normalized RF,Common Leaves,Unique Partitions T1,Unique Partitions T2
ASTRAL-Pro3 vs TreeQMC,0,52,0.0,"{'Callithrix_jacchus', 'Mandrillus_leucophaeus', 'Cercocebus_atys', 'Macaca_nemestrina', 'Mus_musculus', 'Macaca_fascicularis', 'Aotus_nancymaae', 'Pan_troglodytes', 'Rhinopithecus_bieti', 'Propithecus_coquereli', 'Otolemur_garnettii', 'Theropithecus_gelada', 'Colobus_angolensis_palliatus', 'Rhinopithecus_roxellana', 'Pan_paniscus', 'Pongo_abelii', 'Gorilla_gorilla', 'Piliocolobus_tephrosceles', 'Homo_sapiens', 'Tupaia_chinensis', 'Nomascus_leucogenys', 'Macaca_mulatta', 'Cebus_capucinus_imitator', 'Saimiri_boliviensis', 'Papio_anubis', 'Carlito_syrichta', 'Chlorocebus_sabaeus', 'Microcebus_murinus', 'Galeopterus_variegatus'}",56,56
ASTRAL-Pro3 vs Weighted_ASTRAL,0,52,0.0,"{'Callithrix_jacchus', 'Mandrillus_leucophaeus', 'Cercocebus_atys', 'Macaca_nemestrina', 'Mus_musculus', 'Macaca_fascicularis', 'Aotus_nancymaae', 'Pan_troglodytes', 'Rhinopithecus_bieti', 'Propithecus_coquereli', 'Otolemur_garnettii', 'Theropithecus_gelada', 'Colobus_angolensis_palliatus', 'Rhinopithecus_roxellana', 'Pan_paniscus', 'Pongo_abelii', 'Piliocolobus_tephrosceles', 'Gorilla_gorilla', 'Homo_sapiens', 'Tupaia_chinensis', 'Nomascus_leucogenys', 'Macaca_mulatta', 'Cebus_capucinus_imitator', 'Saimiri_boliviensis', 'Papio_anubis', 'Carlito_syrichta', 'Chlorocebus_sabaeus', 'Microcebus_murinus', 'Galeopterus_variegatus'}",56,56
TreeQMC vs Weighted_ASTRAL,0,52,0.0,"{'Callithrix_jacchus', 'Mandrillus_leucophaeus', 'Cercocebus_atys', 'Macaca_nemestrina', 'Mus_musculus', 'Macaca_fascicularis', 'Aotus_nancymaae', 'Pan_troglodytes', 'Rhinopithecus_bieti', 'Propithecus_coquereli', 'Otolemur_garnettii', 'Theropithecus_gelada', 'Colobus_angolensis_palliatus', 'Rhinopithecus_roxellana', 'Pan_paniscus', 'Pongo_abelii', 'Piliocolobus_tephrosceles', 'Gorilla_gorilla', 'Homo_sapiens', 'Tupaia_chinensis', 'Nomascus_leucogenys', 'Macaca_mulatta', 'Cebus_capucinus_imitator', 'Saimiri_boliviensis', 'Papio_anubis', 'Carlito_syrichta', 'Chlorocebus_sabaeus', 'Microcebus_murinus', 'Galeopterus_variegatus'}",56,56
