Tree Label,Sackin Index,Number of Leaves,Tree Height,Total Branch Length,Cherry Count
ASTRAL-Pro3,5.551724137931035,29,1.0941585,1.6578330000000001,10
TreeQMC,4.9655172413793105,29,7.5,57.0,10
Weighted_ASTRAL,5.551724137931035,29,12.4431595,71.548754,10
