Tree Pair,Robinson-Foulds Distance,Weighted RF Distance,Conflicting Splits
ASTRAL-Pro3 vs IQ-Tree,28,178.93534161359995,28
ASTRAL-Pro3 vs TreeQMC,14,16.0,14
ASTRAL-Pro3 vs Weighted_ASTRAL,12,14.0,12
IQ-Tree vs TreeQMC,28,178.93334595519997,28
IQ-Tree vs Weighted_ASTRAL,24,178.92678790719998,24
TreeQMC vs Weighted_ASTRAL,10,12.0,10
