Tree Pair,RF Distance,Max RF,Normalized RF,Common Leaves,Unique Partitions T1,Unique Partitions T2
ASTRAL-Pro3 vs TreeQMC,0,78,0.0,"{'orbifer_RVcoll14C588_Greece', 'orbifer_RVcoll11D769_Kazakhstan', 'sertorius_RVcoll13S897_Spain', 'rosae_RVcoll06A280_Spain', 'rosae_RVcoll14B687_Spain', 'sertorius_RVcoll13S896_Spain', 'sertorius_RVcoll12Q893_Italy', 'rosae_RVcoll14A013_Spain', 'rosae_RVcoll14B590_Spain', 'orbifer_RVcoll11G899_Kazakhstan', 'orbifer_RVcoll11G857_Kazakhstan', 'sertorius_RVcoll13S899_Spain', 'sertorius_RVcoll13S898_Spain', 'orbifer_RVcoll07C508_Greece', 'sertorius_RVcoll12L610_Portugal', 'sertorius_RVcoll12L485_Spain', 'rosae_RVcoll12Q461_Spain', 'rosae_RVcoll14A035_Spain', 'orbifer_RVcoll07D038_Romania', 'sertorius_RVcoll13S892_Spain', 'rosae_RVcoll14A018_Spain', 'rosae_RVcoll11G124_Spain', 'sertorius_RVcoll08L006_Spain', 'sertorius_RVcoll14B581_Spain', 'rosae_RVcoll11G120_Spain', 'rosae_RVcoll14B685_Spain', 'rosae_RVcoll12L091_Spain', 'rosae_RVcoll11G125_Spain', 'rosae_RVcoll13S882_Spain', 'orbifer_RVcoll11H992_Italy', 'sertorius_RVcoll09V462_Spain', 'sertorius_RVcoll12L484_Spain', 'sertorius_LD3155_Italy', 'rosae_RVcoll11G145_Spain', 'orbifer_RVcoll11H963_Italy', 'sertorius_RVcoll12L483_Spain', 'sertorius_RVcoll11D615_Spain', 'sertorius_RVcoll13S895_Spain', 'orbifer_RVcoll11D781_Kazakhstan', 'orbifer_RVcoll09V680_Romania', 'orbifer_RVcoll11G800_Kazakhstan', 'rosae_RVcoll14B686_Spain'}",82,82
ASTRAL-Pro3 vs Weighted_ASTRAL,0,78,0.0,"{'orbifer_RVcoll11D769_Kazakhstan', 'orbifer_RVcoll14C588_Greece', 'sertorius_RVcoll13S897_Spain', 'rosae_RVcoll06A280_Spain', 'sertorius_RVcoll12Q893_Italy', 'sertorius_RVcoll13S896_Spain', 'rosae_RVcoll14B687_Spain', 'rosae_RVcoll14A013_Spain', 'rosae_RVcoll14B590_Spain', 'orbifer_RVcoll11G899_Kazakhstan', 'orbifer_RVcoll11G857_Kazakhstan', 'sertorius_RVcoll13S899_Spain', 'sertorius_RVcoll13S898_Spain', 'orbifer_RVcoll07C508_Greece', 'sertorius_RVcoll12L610_Portugal', 'sertorius_RVcoll12L485_Spain', 'rosae_RVcoll12Q461_Spain', 'rosae_RVcoll14A035_Spain', 'orbifer_RVcoll07D038_Romania', 'sertorius_RVcoll13S892_Spain', 'rosae_RVcoll14A018_Spain', 'rosae_RVcoll11G124_Spain', 'sertorius_RVcoll08L006_Spain', 'sertorius_RVcoll14B581_Spain', 'rosae_RVcoll11G120_Spain', 'rosae_RVcoll11G125_Spain', 'rosae_RVcoll12L091_Spain', 'rosae_RVcoll14B685_Spain', 'orbifer_RVcoll11H992_Italy', 'rosae_RVcoll13S882_Spain', 'sertorius_RVcoll09V462_Spain', 'sertorius_RVcoll12L484_Spain', 'sertorius_LD3155_Italy', 'rosae_RVcoll11G145_Spain', 'orbifer_RVcoll11H963_Italy', 'sertorius_RVcoll11D615_Spain', 'sertorius_RVcoll12L483_Spain', 'sertorius_RVcoll13S895_Spain', 'orbifer_RVcoll09V680_Romania', 'orbifer_RVcoll11G800_Kazakhstan', 'orbifer_RVcoll11D781_Kazakhstan', 'rosae_RVcoll14B686_Spain'}",82,82
TreeQMC vs Weighted_ASTRAL,0,78,0.0,"{'orbifer_RVcoll11D769_Kazakhstan', 'orbifer_RVcoll14C588_Greece', 'sertorius_RVcoll13S897_Spain', 'rosae_RVcoll06A280_Spain', 'sertorius_RVcoll12Q893_Italy', 'sertorius_RVcoll13S896_Spain', 'rosae_RVcoll14B687_Spain', 'rosae_RVcoll14A013_Spain', 'rosae_RVcoll14B590_Spain', 'orbifer_RVcoll11G899_Kazakhstan', 'orbifer_RVcoll11G857_Kazakhstan', 'sertorius_RVcoll13S899_Spain', 'sertorius_RVcoll13S898_Spain', 'orbifer_RVcoll07C508_Greece', 'sertorius_RVcoll12L610_Portugal', 'sertorius_RVcoll12L485_Spain', 'rosae_RVcoll12Q461_Spain', 'rosae_RVcoll14A035_Spain', 'orbifer_RVcoll07D038_Romania', 'sertorius_RVcoll13S892_Spain', 'rosae_RVcoll14A018_Spain', 'rosae_RVcoll11G124_Spain', 'sertorius_RVcoll08L006_Spain', 'sertorius_RVcoll14B581_Spain', 'rosae_RVcoll11G120_Spain', 'rosae_RVcoll11G125_Spain', 'rosae_RVcoll12L091_Spain', 'rosae_RVcoll14B685_Spain', 'orbifer_RVcoll11H992_Italy', 'rosae_RVcoll13S882_Spain', 'sertorius_RVcoll09V462_Spain', 'sertorius_RVcoll12L484_Spain', 'sertorius_LD3155_Italy', 'rosae_RVcoll11G145_Spain', 'orbifer_RVcoll11H963_Italy', 'sertorius_RVcoll11D615_Spain', 'sertorius_RVcoll12L483_Spain', 'sertorius_RVcoll13S895_Spain', 'orbifer_RVcoll09V680_Romania', 'orbifer_RVcoll11G800_Kazakhstan', 'orbifer_RVcoll11D781_Kazakhstan', 'rosae_RVcoll14B686_Spain'}",82,82
