Tree Label,Sackin Index,Number of Leaves,Tree Height,Total Branch Length,Cherry Count
ASTRAL-Pro3,10.523809523809524,42,1.0,1.0,6
TreeQMC,8.904761904761905,42,16.5,83.0,6
Weighted_ASTRAL,10.523809523809524,42,6.027549014324931,54.21960082561942,6
